FUNCTION                                             CALLS        %  TIME  [uS / CALLS]
--------                                             -----  -------  ----  [----------]
'Elixir.Code':string_to_quoted/2                         2     0.28     5  [      2.50]
erl_lint:expr/3                                          3     0.28     5  [      1.67]
gb_sets:empty/0                                          6     0.28     5  [      0.83]
'Elixir.String.Chars':'impl_for!'/1                      7     0.28     5  [      0.71]
'Elixir.String.Chars':to_string/1                        7     0.28     5  [      0.71]
'Elixir.IEx.Evaluator':eval/4                            2     0.28     5  [      2.50]
'Elixir.IEx.Evaluator':'-do_eval/4-after$^0/0-0-'/0      2     0.28     5  [      2.50]
erlang:whereis/1                                         3     0.28     5  [      1.67]
io:request/2                                             6     0.34     6  [      1.00]
io:io_request/2                                          4     0.34     6  [      1.50]
lists:umerge2_2/4                                        8     0.34     6  [      0.75]
elixir_tokenizer:tokenize_any_base_identifier/1          4     0.34     6  [      1.50]
elixir_tokenizer:handle_terminator/2                     4     0.34     6  [      1.50]
elixir_tokenizer:check_terminator/2                      4     0.34     6  [      1.50]
erl_lint:pseudolocals/0                                  6     0.34     6  [      1.00]
erl_lint:'-anno_set_file/2-fun-0-'/2                     9     0.34     6  [      0.67]
erl_lint:'-start/2-lc$^1/1-1-'/1                         8     0.34     6  [      0.75]
'Elixir.Process':put/2                                   2     0.34     6  [      3.00]
erl_anno:default/2                                       9     0.34     6  [      0.67]
'Elixir.IEx.Evaluator':io_inspect/1                      2     0.34     6  [      3.00]
elixir:erl_eval/3                                        2     0.34     6  [      3.00]
erlang:error/2                                           4     0.34     6  [      1.50]
elixir_exp:expand_args/2                                 3     0.39     7  [      2.33]
code:is_loaded/1                                         2     0.39     7  [      3.50]
elixir_tokenizer:tokenize_number/4                       6     0.39     7  [      1.17]
erl_parse:'-map_anno/2-fun-0-'/3                         9     0.39     7  [      0.78]
application_controller:get_env/2                        16     0.39     7  [      0.44]
lists:usplit_2/5                                        10     0.45     8  [      0.80]
elixir_parser:yeccpars1/7                               15     0.45     8  [      0.53]
'Elixir.IO.ANSI':do_format/5                            23     0.45     8  [      0.35]
elixir_aliases:to_partial/1                              2     0.45     8  [      4.00]
ordsets:from_list/1                                      8     0.45     8  [      1.00]
erlang:iolist_to_binary/1                                5     0.45     8  [      1.60]
erlang:'++'/2                                            4     0.45     8  [      2.00]
erlang:pid_to_list/1                                     1     0.45     8  [      8.00]
erlang:phash/2                                           2     0.45     8  [      4.00]
'Elixir.Keyword':get/3                                   6     0.51     9  [      1.50]
erl_anno:is_settable/2                                   9     0.51     9  [      1.00]
unicode:characters_to_binary/2                           2     0.51     9  [      4.50]
lists:reverse/2                                         12     0.51     9  [      0.75]
erlang:put/2                                             4     0.51     9  [      2.25]
erl_eval:expr/5                                          7     0.56    10  [      1.43]
'Elixir.Keyword':fetch/2                                12     0.56    10  [      0.83]
dict:mk_seg/1                                           14     0.56    10  [      0.71]
elixir_tokenizer:tokenize_any_identifier/3               4     0.56    10  [      2.50]
elixir_tokenizer:check_call_identifier/6                 2     0.56    10  [      5.00]
erl_anno:anno_info/2                                    13     0.56    10  [      0.77]
application:get_env/2                                   16     0.62    11  [      0.69]
elixir_translator:translate/2                            5     0.62    11  [      2.20]
elixir_tokenizer:unsafe_to_atom/3                        5     0.62    11  [      2.20]
gb_sets:balance_list_1/2                                12     0.62    11  [      0.92]
lists:usort/1                                           12     0.67    12  [      1.00]
lists:mapfoldl/3                                         9     0.67    12  [      1.33]
dict:new/0                                              14     0.67    12  [      0.86]
erlang:setelement/3                                     18     0.67    12  [      0.67]
elixir_tokenizer:handle_dot/6                            3     0.73    13  [      4.33]
ordsets:is_element/2                                    19     0.73    13  [      0.68]
erlang:send/3                                            2     0.73    13  [      6.50]
elixir_exp:expand/2                                      5     0.79    14  [      2.80]
lists:reverse/1                                         11     0.84    15  [      1.36]
elixir_parser:yeccpars2/7                               17     0.84    15  [      0.88]
'Elixir.Application':get_env/3                          14     0.90    16  [      1.14]
elixir_tokenizer:tokenize_kw_or_other/7                  2     0.95    17  [      8.50]
elixir_tokenizer:check_keyword/5                         2     0.95    17  [      8.50]
erl_parse:modify_anno1/3                                17     0.95    17  [      1.00]
erl_lint:'-start/2-lc$^0/1-0-'/1                        30     1.01    18  [      0.60]
